Year,Provider ID,Name,Street Address,City,State,ZIP Code,HRR,Hospice Beneficiaries,Total Days,Total Medicare Payment Amount,Total Medicare Standard Payment Amount,Total Charge Amount,Percent RHC Days,Physician Services,Home Health Visit Hours per Day,Skilled Nursing Visit Hours per Day,Social Service Visit Hours per Day,Total Live Discharges,Hospice beneficiaries with 7 or fewer hospice care days,Hospice beneficiaries with more than 60 hospice care days,Hospice beneficiaries with more than 180 hospice care days,Home Health Visit Hours per Day During Week Prior to Death,Skilled Nursing Visit Hours per Day During Week Prior to Death,Social Service Visit Hours per Day During Week Prior to Death,Average Age,Male hospice beneficiaries,Female hospice beneficiaries,White hospice beneficiaries,Black hospice beneficiaries,Asian hospice beneficiaries,Hispanic hospice beneficiaries,Other/unknown race hospice beneficiaries,Medicare Advantage hospice beneficiaries,Medicaid Eligible hospice beneficiaries,Hospice beneficiaries with a primary diagnosis of cancer,Hospice beneficiaries with a primary diagnosis of dementia,Hospice beneficiaries with a primary diagnosis of stroke,Hospice beneficiaries with a primary diagnosis of circulatory/heart disease,Hospice beneficiaries with a primary diagnosis of respiratory disease,Hospice beneficiaries with other primary diagnoses ,Site-of-service Home hospice beneficiaries,Site-of-service Assisted Living Facility hospice beneficiaries,Site-of-service Long-term-care or non-skilled Nursing Facility hospice beneficiaries,Site-of-service Skilled Nursing Facility hospice beneficiaries,Site-of-service Inpatient Hospital hospice beneficiaries,Site-of-service Inpatient Hospice hospice beneficiaries,Site-of-service Other Facility hospice beneficiaries
2014,21506,PROVIDENCE IN HOME SERVICES,3435 EAST TUDOR ROAD,ANCHORAGE,AK,99507,AK - Anchorage,439,21120,3848945.66,3308336.04,11736508.31,100,163,0.05,0.12,0.03,50,108,105,28,0.08,0.34,0.06,81,162,277,332,,37,,46,,168,141,124,29,65,40,40,291,127,0,,21,0,0
2014,21500,MAT-SU REGIONAL HOSPICE,"950 EAST BOGARD ROAD, SUITE 132",WASILLA,AK,99654,AK - Anchorage,129,5645,998137.02,876326.41,1301249.58,100,0,0.11,0.19,0.04,,32,,,0.18,0.45,0.06,81,56,73,116,0,,,,,,58,,,20,,,99,30,0,,,0,0
2014,21505,HOSPICE AND HOME CARE OF JUNEAU,419 SIXTH STREET,JUNEAU,AK,99801,AK - Anchorage,32,1078,196477.11,162064.49,262931.2,100,0,0.01,0.29,0.02,,,,,0.02,0.9,0.03,81,14,18,24,0,,,,0,,15,,,,,,32,0,0,,,0,0
2014,21507,FAIRBANKS MEMORIAL HOSPITAL HOSPICE SERVICES,2001 GILLAM WAY,FAIRBANKS,AK,99701,AK - Anchorage,133,7112,1182418.02,1101484,1839219.51,100,55,0.14,0.23,0.03,14,,35,11,0.16,0.74,0.04,79,56,77,108,,,,22,,43,55,20,,,,23,98,22,11,,,0,0
2014,11598,"HOMETOWN HOSPICE, INC",1447 COLLEGE AVE,JACKSON,AL,36545,AL - Mobile,48,7978,1057346.87,1229974.08,1469476.66,100,0,0.3,0.22,0.02,20,,34,22,0.39,0.8,0.1,81,24,24,37,11,0,0,0,,,13,,,18,,,41,0,,0,,0,0
2014,11657,ALABAMA HOSPICE CARE OF BIRMINGHAM,"7127 GADSDEN HIGHWAY, SUITE 207",TRUSSVILLE,AL,35173,AL - Birmingham,55,6597,906236.73,1011117.29,1954628.83,100,0,0.25,0.17,0.04,,,32,14,0.34,0.49,0.05,79,20,35,42,12,,0,,26,,,15,,13,,,43,0,,,,0,0
2014,11578,SOUTHERNCARE DEMOPOLIS,927 HIGHWAY 80 WEST,DEMOPOLIS,AL,36732,AL - Birmingham,174,17341,2435984.02,2787007.36,4744228.68,99,,0.32,0.17,0.02,44,19,89,37,0.39,0.9,0.03,80,82,92,93,80,0,,,14,48,39,41,20,47,11,16,124,,17,12,14,,0
2014,11512,NEW BEACON OF SCOTTSBORO,1602 S BROAD STREET,SCOTTSBORO,AL,35768,AL - Huntsville,150,13853,1855471.45,2144632.15,2763258.17,100,0,0.26,0.18,0.03,20,23,64,29,0.25,0.78,0.04,77,66,84,142,,0,0,,17,31,36,,,36,32,19,116,13,13,,,0,0
2014,11643,COMFORT CARE  HOSPICE OF CULLMAN,2035 ALABAMA HWY 157,CULLMAN,AL,35058,AL - Birmingham,285,18626,2557392.65,2891684.86,4115070.1,100,0,0.23,0.3,0.04,31,76,93,27,0.23,1.05,0.07,79,111,174,279,,0,,0,76,78,91,54,32,43,36,29,168,,,99,13,0,0
2014,11597,COMFORT CARE HOSPICE OF ANDALUSIA,"820 SOUTH THREE NOTCH STREET, SUITE C",ANDALUSIA,AL,36420,FL - Pensacola,174,15174,2048928.68,2374724.37,3252379.81,99,0,0.28,0.29,0.06,19,33,69,31,0.3,1.04,0.14,81,67,107,158,16,0,0,0,15,43,58,16,31,31,15,23,123,0,31,,11,0,
2014,11608,AMERICAN HOMECARE HOSPICE - SYLACAUGA,3235 OLD SYLACAUGA HWY,SYLACAUGA,AL,35150,AL - Birmingham,106,10927,1454202.3,1678211.06,2793542.27,100,0,0.17,0.09,0.03,77,,65,15,0.23,0.39,0.04,74,48,58,61,45,0,0,0,31,30,,,31,20,28,12,106,0,0,0,0,0,0
2014,11505,HOSPICE FAMILY CARE,3304 WESTMILL DRIVE SOUTHWEST,HUNTSVILLE,AL,35805,AL - Huntsville,340,21209,2992195.48,3271718.51,4456694.34,100,0,0.2,0.19,0.03,38,73,105,36,0.22,0.54,0.05,80,148,192,306,31,0,,,43,26,132,57,11,45,38,57,338,0,0,0,,0,
2014,11526,LAKESIDE HOSPICE INC,4010 MASTERS ROAD,PELL CITY,AL,35128,AL - Birmingham,157,11445,1549354.52,1768802.76,2609864.97,100,0,0.16,0.38,0.07,13,26,51,20,0.2,1.12,0.12,80,73,84,141,15,0,,,54,15,57,,,24,21,26,136,,0,18,,0,0
2014,11655,SOUTHERNCARE GREENVILLE,102 CAMELLIA AVE,GREENVILLE,AL,36037,AL - Montgomery,148,15891,2144837.29,2485836.32,4474860.57,99,,0.33,0.16,0.01,52,17,79,34,0.45,1,0.05,79,62,86,121,27,0,0,0,,44,26,35,,52,24,,108,,16,15,,0,0
2014,11660,OASIS HEALTHCARE - MOODY,2005 AGAPE CIRCLE,MOODY,AL,35004,AL - Birmingham,214,18644,2610396.77,2887584.66,5051794.5,99,12,0.22,0.25,0.08,37,44,87,36,0.21,1.01,0.26,82,54,160,164,49,0,,,83,72,23,94,22,30,24,21,104,0,102,0,,0,
